Filename	Noise	Metric	Value
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	Rician	SSIM	0.3334186962003446
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	Rician	NMI	-0.7773105544469547
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	1-voxel	CC	0.0
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	1-voxel	MSE	0.004130656902606671
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	1-voxel	CNRMSE	0.0001823127813829658
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	1-voxel	SSIM	1.7758033643566762e-06
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	1-voxel	NMI	-0.9999697143639543
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	Rician	CC	7.867813110351562e-06
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	Rician	MSE	7.226021697071009
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	Rician	CNRMSE	0.007612812882960885
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	Rician	SSIM	0.3689396638948228
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	Rician	NMI	-0.7765497719044965
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	1-voxel	CC	0.0
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	1-voxel	MSE	0.004995884039463141
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	1-voxel	CNRMSE	0.00025504147332057594
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	1-voxel	SSIM	3.534992119025304e-07
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	1-voxel	NMI	-0.9999538917958777
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	Rician	CC	1.4185905456542969e-05
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	Rician	MSE	7.222643452048961
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	Rician	CNRMSE	0.009676226198114377
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	Rician	SSIM	0.35086599624338155
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	Rician	NMI	-0.8123416865033726
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	1-voxel	CC	1.1920928955078125e-07
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	1-voxel	MSE	0.0029613788311298075
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	1-voxel	CNRMSE	0.00018476452244442276
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	1-voxel	SSIM	5.535307412429802e-08
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	1-voxel	NMI	-0.9999648839829696
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	Rician	CC	1.3530254364013672e-05
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	Rician	MSE	7.222124495488197
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	Rician	CNRMSE	0.009105350676812804
